"Devicename";"Deviceaddress";"Devicetype"
"seint2050";"164.4.87.90";"Microsoft_OS_Windows"
"seint2054";"164.4.87.81";"Microsoft_OS_Windows"
"seint2055";"164.4.87.82";"Microsoft_OS_Windows"
"seint2056";"138.103.186.36";"Microsoft_OS_Windows"
"seint2057";"164.4.184.59";"Microsoft_OS_Windows"
"seint2060";"138.103.186.33";"Microsoft_OS_Windows"
"seint2062";"138.103.89.87";"Microsoft_OS_Windows"
"seint2064";"138.103.89.23";"Microsoft_OS_Windows"
"seint2065";"138.103.89.20";"Microsoft_OS_Windows"
"seint2066";"164.4.86.57";"Microsoft_OS_Windows"
"seint2067";"164.4.87.188";"Microsoft_OS_Windows"
"seint2068";"164.4.33.193";"Microsoft_OS_Windows"
"seint2069";"138.103.90.120";"Microsoft_OS_Windows"
"seint2070";"164.4.184.201";"Microsoft_OS_Windows"
"seint2071";"164.4.184.203";"Microsoft_OS_Windows"
"seint2076";"164.4.87.57";"Microsoft_OS_Windows"
"seint2077";"164.4.41.62";"Microsoft_OS_Windows"
"seint2078";"164.4.86.148";"Microsoft_OS_Windows"
"seint2082";"164.4.86.185";"Microsoft_OS_Windows"
"seint2090";"138.103.90.164";"Microsoft_OS_Windows"
"seint2091";"138.103.90.211";"Microsoft_OS_Windows"
"seint2092";"164.4.87.117";"Microsoft_OS_Windows"
"seint2093";"164.4.184.219";"Microsoft_OS_Windows"
"seint2096";"138.103.186.65";"Microsoft_OS_Windows"
"seint2098";"164.4.41.175";"Microsoft_OS_Windows"
"seint2101";"138.103.89.48";"Microsoft_OS_Windows"
"seint2102";"138.103.89.49";"Microsoft_OS_Windows"
"seint2107";"138.103.89.64";"Microsoft_OS_Windows"
"seint2108";"138.103.89.66";"Microsoft_OS_Windows"
"seint2109";"138.103.86.33";"Microsoft_OS_Windows"
"seint2110";"138.103.86.53";"Microsoft_OS_Windows"
"seint2111";"138.103.86.58";"Microsoft_OS_Windows"
"seint2112";"138.103.186.111";"Microsoft_OS_Windows"
"seint2116";"164.4.87.209";"Microsoft_OS_Windows"
"seint2117";"138.103.89.98";"Microsoft_OS_Windows"
"seint2118";"164.4.86.105";"Microsoft_OS_Windows"
"seint2120";"138.103.90.215";"Microsoft_OS_Windows"
"seint2401";"138.103.86.249";"Microsoft_OS_Windows"
"seint2405";"138.103.186.97";"Microsoft_OS_Windows"
"seint2408";"164.4.87.110";"Microsoft_OS_Windows"
"seint2410";"164.4.184.68";"Microsoft_OS_Windows"
"seint2411";"138.103.89.83";"Microsoft_OS_Windows"
